Jersey,name,Yr,pos,GP,GS,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,season
29,Jason Shuger,So,P,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
27,John Byrnes,Sr,P,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
14,Ben Hauser,Sr,UT,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
38,Nathan Price,Jr,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10,Matt Thompson,So,UT,9,0,2,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2021
12,Aerik Joe,Fr,INF,7,0,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2021
17,Luke Chilcutt,Sr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
21,Connor Bright,Jr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
44,Ryan Stohr,So,UT,7,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021
19,Duke Benge,So,UT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
35,Jake Sansing,So,P,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
25,Bryce Parsons,Fr,OF,4,2,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2021
22,Zach Wall,So,UT,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2021
32,Kyle Moats,Fr,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
33,Mitchell Woelfle,So,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
24,Bryant Shellenbarger,Sr,OF,50,50,18,152,41,5,0,49,1,13,10,2,2,0,32,4,2,0,2,0,2021
9,Jerry Reinhart,Sr,INF,49,49,21,157,36,8,0,50,2,21,16,2,3,2,45,3,4,1,3,0,2021
10,Cameron Tilly,Sr,C,49,49,27,153,45,8,0,65,4,21,16,4,1,3,30,4,5,1,2,1,2021
2,Justin Barr,Sr,INF,48,48,17,157,37,3,1,51,3,20,14,3,1,7,27,9,2,0,9,0,2021
3,Connor Regan,Sr,C,46,45,20,157,36,7,0,55,4,25,9,2,0,4,42,3,0,0,2,0,2021
22,Bradley Goulet,Jr,INF,45,45,25,142,40,6,1,63,5,20,11,1,0,7,23,1,1,1,6,1,2021
12,Zac Granger,Sr,OF,45,43,15,140,28,8,0,39,1,11,17,0,1,0,37,6,2,2,4,0,2021
16,Austin Domer,Sr,OF,30,19,7,65,18,2,0,20,0,8,4,1,2,3,18,1,0,0,3,0,2021
1,Tate Wargo,Sr,INF,29,24,10,76,17,2,0,19,0,5,8,6,0,2,20,0,3,1,1,0,2021
26,Josh Nowak,Sr,C,24,24,13,68,13,0,0,13,0,5,9,5,0,2,14,3,1,0,0,0,2021
23,Jackson Miller,So,P,21,7,1,20,3,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,2021
4,Dominick Trevino,Sr,OF,20,13,3,46,13,3,0,16,0,7,11,1,1,1,6,0,1,1,1,0,2021
29,Kaito Hara,So,INF,19,11,5,43,12,0,0,12,0,3,8,2,1,1,6,0,1,0,2,0,2021
30,Roy Thurman,Sr,OF,18,17,9,58,16,4,1,25,1,9,9,5,0,2,17,1,1,1,2,0,2021
31,Mark Meyer,Sr,P,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
28,Matthew Radtka,Sr,P,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
35,Brady Mehl,Sr,P,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7,Josh Beck,Sr,C,13,9,1,27,4,0,0,4,0,1,3,3,0,0,10,1,1,0,0,0,2021
36,Spencer Atkins,Fr,P,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
40,Taed Heydinger,Sr,P,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
50,John Creel,Sr,P,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11,Tyler Gault,Sr,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
33,Sammy Tortorella,Fr,P,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
32,Anthony  Fett,Fr,P,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
18,Jacob Clark,So,P,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
14,Conor Steinbaugh,Sr,P,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8,Yassir Kahook,Fr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5,Dylan James,So,P,5,1,1,6,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2021
21,Breydan Cavey,So,INF,5,1,0,8,3,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,2021
34,Will Cheatham,So,1B,4,2,0,8,2,0,0,2,0,2,1,1,0,0,2,1,0,0,0,0,2021
6,Jackson Hickert,Sr,P,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
20,Joshua Nellis,Sr,1B,4,3,1,6,3,1,0,4,0,1,1,0,1,0,2,0,0,0,1,0,2021
27,Grayson Phillips,So,P,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
37,Kevin Koziol,Jr,C,3,0,0,5,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2021
13,Sean Swenson,So,UT,3,1,1,7,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2021
8,Peyton Wilson,So,UT,58,58,46,248,72,13,1,114,9,31,22,4,4,1,41,2,3,2,10,0,2021
19,Sam Praytor,Jr,C,58,58,35,213,59,12,0,113,14,48,29,8,6,0,38,8,1,0,2,1,2021
44,Zane Denton,So,INF,58,58,40,221,68,10,0,108,10,40,35,3,3,0,52,5,0,0,2,4,2021
10,Jim Jarvis,So,INF,57,56,29,173,41,6,3,53,0,17,26,8,0,7,16,2,0,0,5,0,2021
16,Owen Diodati,So,OF,56,55,30,200,46,3,1,84,11,40,19,6,1,0,61,2,1,0,1,0,2021
7,Caden Rose,Fr,INF,54,42,23,137,26,7,1,47,4,19,13,6,2,4,46,1,2,1,2,1,2021
11,William Hamiter,So,OF,53,53,35,203,55,11,1,80,4,34,22,6,2,3,45,6,1,0,1,0,2021
18,Drew Williamson,Jr,INF,48,47,33,165,42,12,0,66,4,21,26,4,1,2,41,1,0,0,3,0,2021
21,Andrew Pinckney,Fr,OF,45,24,16,102,25,6,0,34,1,11,3,5,1,0,37,2,1,0,2,0,2021
1,Jackson Tate,Sr,OF,36,26,18,96,28,5,0,54,7,19,5,5,2,2,34,1,1,0,4,0,2021
22,T.J. Reeves,Jr,OF,27,22,9,83,19,4,0,29,2,8,6,1,0,0,34,1,0,0,1,0,2021
30,William Freeman,Sr,P,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
27,Chase Lee,Jr,P,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
32,Will Patota,Jr,OF,22,4,3,28,5,2,0,10,1,7,3,1,1,0,11,0,1,0,0,0,2021
48,Landon Green,So,P,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
13,Bryce Eblin,Fr,INF,18,10,9,38,13,5,0,18,0,8,7,1,0,0,8,2,0,0,0,0,2021
5,Tyler Ras,Jr,P,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
25,Dylan Smith,Jr,P,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
29,Connor Shamblin,Jr,P,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
34,Jacob Mcnairy,Jr,P,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
42,Davis Heller,So,INF,15,5,6,27,6,0,0,6,0,0,6,0,0,0,10,1,0,0,0,0,2021
35,Jake Eddington,Fr,P,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
12,Johnny Hawk,Sr,C,12,4,2,17,2,0,0,2,0,1,2,0,1,0,8,1,0,0,0,0,2021
26,Grayson Hitt,Fr,P,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
40,Brock Guffey,Sr,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
28,Eli Giles,Fr,P,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
37,Hunter Ruth,Jr,P,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
14,Antoine Jean,So,P,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4,Connor Prielipp,So,P,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9,Brayden Rowe,Fr,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2,Teddy Bridges,Jr,OF,29,29,17,104,32,7,0,45,2,14,16,2,1,0,18,1,5,1,14,0,2021
25,Dillon Roop,So,C,29,29,13,96,17,5,0,22,0,11,8,7,4,0,15,2,0,0,2,0,2021
16,Trevor  Berkemeyer,So,INF,29,29,16,98,20,5,3,34,1,16,16,3,2,1,29,1,0,0,8,0,2021
7,Jalen Ford,Fr,INF,29,28,13,84,17,1,0,18,0,11,14,2,1,4,22,1,2,0,5,0,2021
12,Malik Frails,Fr,INF,28,25,9,77,15,2,2,24,1,9,10,2,1,1,28,0,2,0,5,0,2021
6,Pierre  Brewton,Sr,INF,27,26,17,83,22,4,0,26,0,9,14,3,0,0,19,2,2,0,9,0,2021
21,Janmikell Bastardo,Fr,OF,26,25,20,94,25,5,3,42,2,17,14,0,1,0,21,1,0,1,5,1,2021
9,Dylan Hall,Fr,C,26,22,10,66,13,2,0,15,0,9,13,4,0,1,24,2,1,1,1,1,2021
20,Carlos Mas,Fr,INF,22,13,5,38,7,2,0,12,1,4,2,4,1,0,22,0,0,0,1,0,2021
15,Brock  Mitchell,Fr,C,19,13,6,50,13,3,0,16,0,7,6,1,0,0,9,2,1,0,0,0,2021
28,Michael  Hovermill,Sr,P,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
18,Rodney Farrell,Fr,OF,13,11,5,32,5,0,1,10,1,4,2,0,0,0,13,0,0,0,2,0,2021
32,Peyton  Baker,Jr,P,12,9,1,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2021
4,Isom Ford,Sr,C,12,6,1,24,4,1,0,5,0,2,0,2,0,1,15,0,0,0,1,0,2021
33,Logan Smith,So,C,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
38,Josue Torres-Santos,Jr,P,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5,Jose Figueroa,Jr,P,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
17,Khari Caver,So,P,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
27,Alden Moore,Fr,UT,9,4,1,10,3,1,0,4,0,1,2,1,0,0,5,0,0,0,0,0,2021
8,Jason Garcia,Fr,P,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1,Cole Stewart,Fr,P,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
24,Jason Marono,Fr,P,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
37,Yavier Febus,Fr,P,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
22,Josue Espaillat-Garcia,Fr,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10,Brendon Lopez,Fr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
14,Cristopher Deguzman,Sr,INF,41,41,44,158,58,8,4,80,2,31,21,4,1,1,25,2,3,0,8,0,2021
8,Santiago Garcia,Sr,C,40,39,38,139,45,14,1,94,11,43,29,4,5,1,25,4,1,0,4,1,2021
25,Trenton Jamison,Jr,INF,39,39,44,164,64,12,2,104,8,43,16,6,1,0,27,4,0,1,4,0,2021
1,Jabronski  Williams,Sr,OF,38,38,47,149,47,7,1,68,4,29,34,3,1,1,29,2,4,0,10,1,2021
6,Chris Lewis,Sr,INF,37,36,22,135,39,7,2,56,2,31,10,6,5,2,21,2,2,0,7,0,2021
5,Hunter May,Jr,C,34,31,31,95,33,9,0,51,3,25,30,5,1,1,32,0,2,0,6,0,2021
22,Aj Gardner,Sr,OF,32,32,28,119,37,6,1,60,5,27,11,1,1,0,32,1,2,0,0,0,2021
9,Jayden Sloan,So,2B,30,28,24,97,30,6,2,43,1,23,10,1,1,3,21,1,2,0,6,0,2021
18,Dilan Espinal,Sr,INF,29,24,14,85,24,1,2,29,0,12,12,1,1,1,24,1,0,0,3,0,2021
19,Abner Benitez,Fr,ph,27,21,15,77,21,5,2,33,1,13,9,2,1,0,21,0,1,0,2,0,2021
21,Angel Jimenez,Jr,OF,23,17,13,75,22,6,0,37,3,16,4,0,3,0,24,1,0,0,1,0,2021
12,Kenny Allred,Sr,OF,20,3,2,19,1,0,0,1,0,0,0,0,0,0,10,1,0,0,1,0,2021
33,Payton Harris,Sr,P,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
35,Ryan Velazquez,Sr,P,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021
18,Dale Francis,Fr,ph/1b,17,8,8,37,10,1,1,13,0,4,4,0,0,0,4,2,0,0,2,0,2021
37,Britt Buckelew,Sr,P,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
23,Osvaldo Mendez,So,p,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
29,Jordan Gould,Sr,P,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
30,Breon Pooler,Sr,P,13,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
15,Kerrigan Edmondson,Fr,cf,11,6,5,26,5,1,1,8,0,3,7,0,0,0,7,0,0,0,0,0,2021
2,Cameron Hearn,Sr,OF,11,11,9,45,8,1,0,9,0,5,4,1,0,0,16,1,1,0,0,0,2021
36,Trevor Jurjevich,Sr,INF,11,1,1,4,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2021
11,Jacknell Guzman,Sr,P,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
16,Alexander Castro,Sr,P,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
28,Luis Rodriguez,So,C,8,0,1,10,1,0,0,1,0,1,1,0,0,0,7,1,0,0,0,0,2021
20,Ricardo Rivera,Jr,P,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4,Sebastian Colon,So,INF,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021
38,Jeremy Rivera,Jr,P,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7,Austin King,Sr,P,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
40,Nate Palmer,So,p,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
32,Adiel Melendez,Fr,p,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
26,Fred  Stewart,Sr,C,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2021
44,Isaias Hernandez,Fr,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
25,Chandler Simpson,Fr,INF,54,48,31,177,51,6,2,61,0,20,12,2,1,2,16,0,3,1,24,0,2021
2,John Marc Mullins,So,INF,54,54,27,160,38,7,1,59,4,24,20,8,0,2,32,2,4,0,5,0,2021
23,Jess Davis,So,OF,54,54,39,186,48,7,1,66,3,30,27,8,5,3,38,2,6,5,23,0,2021
30,Colton Schultz,Sr,UT,54,53,29,189,58,6,3,88,6,36,14,12,4,1,24,5,2,0,6,0,2021
22,Zack Davis,Sr,OF,52,52,28,178,50,14,1,78,4,35,11,9,6,0,27,1,0,0,1,0,2021
18,Ian Ladner,Jr,INF,42,37,14,127,34,3,0,49,4,17,7,8,1,0,25,6,1,0,0,0,2021
15,J Paul Fullerton,Sr,C,38,33,17,114,28,8,0,51,5,20,17,3,3,0,32,2,0,0,0,1,2021
21,Pate Fullerton,So,INF,36,23,14,55,10,0,0,10,0,9,11,0,1,2,15,1,1,0,1,0,2021
33,Thomas Johnston,Sr,UT,34,17,8,73,16,3,0,19,0,14,9,1,1,0,10,3,1,1,0,0,2021
1,Darryl Buggs,Fr,UT,31,18,12,66,15,4,1,21,0,7,4,1,0,3,24,0,0,1,2,0,2021
3,Caleb Floyd,Jr,OF,29,15,17,76,22,7,0,41,4,13,4,0,0,0,28,3,1,0,3,0,2021
28,Joseph Kiel,So,C,28,25,4,68,11,1,0,12,0,5,3,2,2,3,12,3,1,1,0,0,2021
5,Leo Harris,Fr,UT,27,13,6,31,2,0,0,5,1,1,4,1,0,2,15,0,0,0,0,0,2021
27,Thomas Johns,Jr,INF,24,11,3,46,9,2,0,17,2,5,2,0,0,0,25,0,0,0,0,0,2021
8,Brady Greene,Jr,P,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
35,David Harris,Fr,INF,22,9,2,34,6,1,0,7,0,3,0,0,0,2,13,1,0,1,1,0,2021
9,Blaine Smith,Jr,UT,20,15,11,42,9,3,1,14,0,2,6,1,0,0,13,0,0,0,2,0,2021
13,Jake Killingsworth,Fr,C,20,9,4,37,9,1,0,10,0,7,2,1,2,0,12,1,1,1,0,0,2021
20,Dylan Cunningham,Jr,P,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10,Tanner Rusk,Jr,P,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
44,Collin Taylor,Jr,P,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
50,Evan Ingram,Sr,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
45,Sam Brace,Sr,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
36,Tyler O'Clair,So,P,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
29,Jonah Smith,Fr,P,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
12,Austin Bohannon,Sr,P,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
37,Carson Knight,Fr,P,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
31,Riley Davis,Jr,P,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
26,Jordan Bonk,Jr,P,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
38,Nick Wright,Fr,P,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
40,Matthew Reed,So,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
24,Troy Cordrey,So,P,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
34,Blake Petty,So,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
16,Hunter Hill,Jr,C,3,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2021
11,Ian Mcwilliams,Jr,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
19,Brad Malm,Sr,INF,47,47,35,174,60,21,1,95,4,39,21,4,6,0,37,1,1,1,5,4,2021
11,John Daly,Sr,OF,47,46,25,141,35,4,3,54,3,22,23,8,0,2,47,2,0,1,14,0,2021
12,John Marti,Jr,INF,47,47,39,169,59,12,4,100,7,41,19,6,5,1,21,2,4,0,11,5,2021
38,Jason Bottari,Jr,INF,46,46,24,163,42,2,1,46,0,28,18,4,3,4,23,6,1,2,26,1,2021
7,Marc Wangenstein,Sr,OF,45,44,31,146,31,7,3,59,5,18,16,7,0,2,57,3,2,0,5,0,2021
16,Dolan Ocasal,Jr,INF,45,45,33,159,40,8,1,50,0,13,24,3,1,3,30,0,1,2,9,0,2021
24,Josh Gurnack,Sr,C,40,38,14,122,32,7,0,39,0,20,12,3,2,1,26,2,1,0,0,0,2021
25,Will Feil,Jr,UT,37,34,24,115,26,0,0,35,3,14,24,6,2,1,35,1,2,1,2,0,2021
3,Josh Loeffler,Sr,OF,30,19,6,70,15,1,0,19,1,8,10,3,0,1,26,3,1,1,2,0,2021
