Jersey,name,Yr,pos,GP,GS,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,season
8,Colton Eager,Sr,OF,56,56,50,222,76,17,1,134,13,57,28,5,4,1,32,6,2,1,3,3,2021
1,Sebastian Randle,Fr,ss,55,54,44,187,57,13,1,78,2,39,26,4,2,2,47,5,1,0,3,0,2021
22,Grayson Tatrow,So,INF,54,54,50,209,68,15,2,117,10,39,28,8,2,0,60,6,3,0,4,0,2021
3,Mitchell Dickson,Jr,C,49,48,52,196,75,10,0,97,4,45,21,9,0,2,19,2,0,1,7,0,2021
23,Tommy Cruz,Sr,INF,48,44,36,164,55,11,0,69,1,29,34,5,5,1,19,4,2,1,0,2,2021
2,Brett Hammit,Fr,dh,48,43,33,156,42,12,3,87,9,41,16,7,1,1,55,5,0,0,2,0,2021
6,Alexei Cazarin,Sr,INF,48,34,23,110,26,6,1,37,1,10,14,1,2,5,34,2,0,2,2,0,2021
11,Miller Ladusau,So,OF,47,46,29,174,56,6,0,86,8,35,14,4,1,0,43,5,1,1,1,0,2021
9,Hunter Gieser,Sr,INF,47,45,36,155,41,12,0,74,7,31,20,14,0,0,44,4,0,0,2,0,2021
10,Bryson Hill,So,1B,30,24,13,89,23,4,0,33,2,14,13,6,1,0,35,2,0,4,2,0,2021
24,Mike Brown,Sr,OF,26,17,15,71,12,1,0,13,0,5,12,1,1,4,14,3,1,0,8,0,2021
27,Harrison Caley,Fr,C,24,17,7,51,12,0,1,14,0,6,13,0,1,5,19,0,1,0,0,1,2021
24,Cameron Cromer,So,1B,23,16,12,53,10,3,0,13,0,12,7,1,1,0,12,0,2,0,2,0,2021
44,Eric Wimpee,Sr,P,22,8,11,39,9,2,0,14,1,8,3,4,0,0,14,1,0,0,0,0,2021
35,Tanner Riley,Sr,P,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
45,Max Huffing,Fr,p,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
39,C. Carlton,So,p,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
21,Tyler Morgan,So,P,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7,Genner Cervantes,Sr,P,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
20,Spencer Chirpich,Sr,P,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
39,Adam Stephenson,So,P,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
29,Carter Sells,So,P,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
14,Austin Glaze,So,P,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
32,Cal Strandt,So,INF,12,5,3,20,3,0,0,3,0,4,3,3,0,1,4,2,0,0,1,0,2021
0,Trevor Jackson,Sr,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
43,Nick Norton,So,p,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5,Joseph Craig,Sr,OF,4,1,2,4,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,2021
15,Owen Cuffe,So,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
17,Austin Ruesch,Sr,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
30,Thomas Brannon,So,C,2,1,0,3,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2021
19,Zach Smith,Sr,INF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
26,Jack Junker,So,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7,Cole Blatchford,Sr,INF,48,48,42,191,63,12,0,90,5,32,17,4,6,0,43,5,1,0,6,0,2021
23,Paul Skenes,Fr,UT,48,48,49,188,77,21,0,131,11,43,22,8,2,0,45,2,3,0,0,2,2021
9,Alexander Pup,Jr,INF,48,48,23,165,39,8,1,55,2,20,18,4,1,2,38,3,3,1,4,0,2021
18,Braydon Altorfer,Jr,C,48,47,39,177,59,23,1,111,9,43,26,9,3,1,38,1,1,0,2,0,2021
16,Gabriel Garcia,Jr,UT,48,48,32,191,63,14,5,102,5,37,18,6,4,1,36,7,4,1,7,0,2021
20,Tommy Gillman,Sr,INF,45,44,21,172,45,7,3,61,1,29,22,0,2,0,31,5,4,1,4,2,2021
3,Blake Covin,So,OF,45,43,24,151,39,4,2,50,1,12,17,4,2,6,45,3,4,1,11,0,2021
15,Cayden Zimmerman,Jr,UT,43,37,31,146,42,11,2,63,2,25,13,4,3,2,22,4,2,2,9,0,2021
1,Christian Gambale,Sr,UT,36,35,22,121,36,12,0,57,3,24,12,7,3,1,21,5,1,0,3,0,2021
2,Trayden Tamiya,So,INF,35,9,11,46,12,3,1,17,0,4,3,1,0,0,10,0,0,0,3,0,2021
5,Sam Kulasingam,Fr,INF,31,19,13,81,22,7,0,35,2,11,10,0,0,1,15,2,0,0,1,0,2021
34,Jay Thomason,Fr,INF,21,4,6,26,8,4,0,12,0,7,5,0,0,0,9,0,0,0,0,0,2021
31,Zach Argo,Jr,P,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
30,Doyle Gehring,Fr,P,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
13,Joe Martinez Iii,Sr,P,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
36,Robert Martin,Jr,P,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11,Cj Dornak,Jr,P,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
28,Stevan Fairburn Jr.,Jr,P,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
