Jersey,name,Yr,pos,GP,GS,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,season
24,Tanner Mink,So,INF,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
26,Nolan Hudi,Fr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
38,Caleb Pundsack,So,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
44,Joe Sanchez,Sr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
41,Devin Hemenway,Jr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
34,Orion Kerkering,So,P,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
28,Ethan Brown,So,P,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
30,Jack Cebert,Fr,P,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
39,Tyler Dietz,Fr,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
15,Dylan Vega,Fr,P,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
49,Jack Jasiak,So,P,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
45,Brad Lord,Jr,P,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
20,Austin Grause,Fr,P,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
40,Tommy Groom,So,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
21,Joel Vaske,Jr,OF,19,17,12,65,16,3,0,28,3,13,10,2,0,1,27,0,1,0,4,0,2022
23,Brett Graber,Jr,P,19,19,14,64,24,5,1,40,3,15,17,4,0,1,19,1,2,0,5,0,2022
1,Jevon Mason,Jr,OF,19,19,29,77,26,6,2,54,6,19,20,0,1,0,17,0,1,0,9,0,2022
14,Peyton Leeper,So,UT,19,19,26,71,19,4,0,38,5,18,19,2,0,2,18,3,0,0,4,0,2022
10,Lincoln Andrews,So,INF,19,19,16,81,21,7,0,37,3,18,10,0,1,1,33,2,1,0,0,0,2022
9,Tyler Wilber,Sr,INF,19,19,22,77,24,5,0,53,8,32,16,2,0,0,12,4,0,0,0,1,2022
11,Ben Palmer,So,INF,18,16,18,49,11,1,1,17,1,11,9,3,1,1,17,0,0,0,4,0,2022
12,Andrew Keck,Jr,C,17,17,16,76,27,7,0,46,4,23,5,0,1,0,15,2,0,0,6,0,2022
5,Danny Sperling,Jr,INF,16,10,7,37,9,1,0,10,0,6,8,1,0,1,9,1,0,0,1,0,2022
8,Ty Stauss,So,UT,12,8,6,32,8,0,0,14,2,2,3,0,0,1,9,1,0,0,0,0,2022
31,Blake Cisneros,Jr,P,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
19,Spencer Parker,Jr,OF,9,2,2,16,4,1,0,5,0,1,2,0,0,0,3,0,1,0,0,0,2022
35,Ryan Malzahn,Fr,OF,9,3,2,13,1,1,0,2,0,1,0,1,0,0,6,0,0,0,0,0,2022
27,Austin Williams,Sr,P,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
30,Tommy Windt,Jr,UT,7,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022
