date,field,runs_scored,runs_allowed,opponent,run_difference
2021-02-20,@Abilene Christian,16,3,Tarleton State,13
2021-02-20,@Abilene Christian,7,2,Tarleton State,5
2021-02-21,@Tarleton State,4,10,Tarleton State,-6
2021-02-23,@Texas A&M,6,5,Texas A&M,1
2021-02-26,@Abilene Christian,8,7,New Mexico State,1
2021-02-27,@Abilene Christian,15,9,New Mexico State,6
2021-02-28,@Abilene Christian,2,12,New Mexico State,-10
2021-03-02,@Texas-Arlington,2,3,Texas-Arlington,-1
2021-03-05,@Abilene Christian,26,3,Arkansas State,23
2021-03-06,@Abilene Christian,6,5,Arkansas State,1
2021-03-07,@Abilene Christian,9,4,Arkansas State,5
2021-03-12,@Central Arkansas,9,8,Central Arkansas,1
2021-03-13,@Central Arkansas,5,4,Central Arkansas,1
2021-03-13,@Central Arkansas,3,6,Central Arkansas,-3
2021-03-14,@Central Arkansas,8,9,Central Arkansas,-1
2021-03-19,@Abilene Christian,6,7,Nicholls State,-1
2021-03-20,@Abilene Christian,6,5,Nicholls State,1
2021-03-20,@Abilene Christian,4,1,Nicholls State,3
2021-03-21,@Abilene Christian,4,7,Nicholls State,-3
2021-03-26,@New Orleans,9,6,New Orleans,3
2021-03-27,@New Orleans,19,10,New Orleans,9
2021-03-27,@New Orleans,4,8,New Orleans,-4
2021-03-28,@New Orleans,16,12,New Orleans,4
2021-04-01,@Abilene Christian,2,8,Northwestern State,-6
2021-04-02,@Abilene Christian,11,0,Northwestern State,11
2021-04-02,@Abilene Christian,3,5,Northwestern State,-2
2021-04-03,@Abilene Christian,5,6,Northwestern State,-1
2021-04-09,@Southeastern Louisiana,13,9,Southeastern Louisiana,4
2021-04-10,@Southeastern Louisiana,8,4,Southeastern Louisiana,4
2021-04-10,@Southeastern Louisiana,3,8,Southeastern Louisiana,-5
2021-04-11,@Southeastern Louisiana,0,7,Southeastern Louisiana,-7
2021-04-13,@Abilene Christian,11,10,Texas-Arlington,1
2021-04-16,@Texas,0,18,Texas,-18
2021-04-17,@Texas,1,3,Texas,-2
2021-04-18,@Texas,1,11,Texas,-10
2021-04-23,@Abilene Christian,1,12,Incarnate Word,-11
2021-04-24,@Abilene Christian,8,3,Incarnate Word,5
2021-04-24,@Abilene Christian,10,7,Incarnate Word,3
2021-04-25,@Abilene Christian,8,4,Incarnate Word,4
2021-05-02,@Houston Baptist,5,2,Houston Baptist,3
2021-05-02,@Houston Baptist,8,6,Houston Baptist,2
2021-05-07,@Abilene Christian,3,2,Lamar,1
2021-05-08,@Abilene Christian,8,4,Lamar,4
2021-05-08,@Abilene Christian,10,5,Lamar,5
2021-05-09,@Abilene Christian,7,5,Lamar,2
2021-05-14,@Sam Houston State,10,1,Sam Houston State,9
2021-05-15,@Sam Houston State,12,6,Sam Houston State,6
2021-05-15,@Sam Houston State,4,5,Sam Houston State,-1
2021-05-16,@Sam Houston State,5,3,Sam Houston State,2
2021-05-20,@Abilene Christian,13,3,Stephen F. Austin State,10
2021-05-21,@Abilene Christian,7,3,Stephen F. Austin State,4
2021-05-21,@Abilene Christian,6,4,Stephen F. Austin State,2
2021-05-22,@Abilene Christian,3,9,Stephen F. Austin State,-6
2021-05-26,@Abilene Christian,7,1,Lamar,6
2021-05-27,@Abilene Christian,4,3,Texas A&M-Corpus Christi,1
2021-05-28,@Sam Houston State,12,14,Sam Houston State,-2
2021-05-29,@Abilene Christian,13,15,Sam Houston State,-2
2021-02-20,@Louisiana State,1,6,Louisiana State,-5
2021-02-21,@Louisiana State,6,5,Louisiana State,1
2021-02-21,@Air Force,1,18,Louisiana Tech,-17
2021-02-27,@New Mexico,2,5,New Mexico,-3
2021-02-27,@New Mexico,7,11,New Mexico,-4
2021-02-28,@New Mexico,4,11,New Mexico,-7
2021-03-05,@Air Force,4,1,Army,3
2021-03-06,@Army,12,1,Army,11
2021-03-07,@Air Force,5,4,Army,1
2021-03-13,@Air Force,12,3,Wichita State,9
2021-03-13,@Arizona,5,2,Arizona,3
2021-03-14,@Arizona,5,14,Arizona,-9
2021-03-20,@San Diego State,1,5,San Diego State,-4
2021-03-20,@San Diego State,2,9,San Diego State,-7
2021-03-21,@San Diego State,13,9,San Diego State,4
2021-03-27,@Air Force,4,3,Nevada-Las Vegas,1
2021-03-27,@Air Force,10,7,Nevada-Las Vegas,3
2021-03-28,@Air Force,11,10,Nevada-Las Vegas,1
2021-04-02,@Nevada,7,5,Nevada,2
2021-04-02,@Nevada,2,1,Nevada,1
2021-04-03,@Nevada,9,15,Nevada,-6
2021-04-10,@Fresno State,3,8,Fresno State,-5
2021-04-10,@Fresno State,1,7,Fresno State,-6
2021-04-11,@Fresno State,12,6,Fresno State,6
2021-04-13,@Kansas,3,13,Kansas,-10
2021-04-14,@Kansas,4,7,Kansas,-3
2021-04-16,@Dallas Baptist,0,2,Dallas Baptist,-2
2021-04-17,@Dallas Baptist,3,0,Dallas Baptist,3
2021-04-18,@Dallas Baptist,5,3,Dallas Baptist,2
2021-04-24,@Air Force,7,14,Nevada,-7
2021-04-24,@Air Force,6,3,Nevada,3
2021-04-25,@Air Force,4,7,Nevada,-3
2021-05-01,@Nevada-Las Vegas,4,11,Nevada-Las Vegas,-7
2021-05-01,@Nevada-Las Vegas,9,12,Nevada-Las Vegas,-3
2021-05-02,@Nevada-Las Vegas,8,6,Nevada-Las Vegas,2
2021-05-08,@Air Force,6,4,New Mexico,2
2021-05-08,@Air Force,15,12,New Mexico,3
2021-05-09,@Air Force,10,3,New Mexico,7
2021-05-14,@Air Force,11,6,San Jose State,5
2021-05-15,@Air Force,9,3,San Jose State,6
2021-05-15,@Air Force,11,3,San Jose State,8
2021-05-16,@Air Force,5,3,San Jose State,2
2021-05-22,@Air Force,3,17,San Diego State,-14
2021-05-23,@Air Force,13,20,San Diego State,-7
2021-05-23,@Air Force,10,13,San Diego State,-3
2021-05-28,@Air Force,13,6,Fresno State,7
2021-05-28,@Air Force,9,7,Fresno State,2
2021-05-29,@Air Force,8,9,Fresno State,-1
2021-03-06,@Akron,13,0,Olivet,13
2021-03-06,@Akron,9,1,Olivet,8
2021-03-10,@Akron,1,5,Wittenberg,-4
2021-03-11,@Akron,16,1,Salem University,15
2021-03-12,@Akron,5,3,Grand Valley,2
2021-03-14,@Akron,12,1,Mercyhurst,11
2021-03-19,@Akron,2,9,Eastern Michigan,-7
2021-03-20,@Akron,3,2,Eastern Michigan,1
2021-03-20,@Akron,8,6,Eastern Michigan,2
2021-03-21,@Akron,6,8,Eastern Michigan,-2
2021-03-24,@Akron,11,9,Shawnee State,2
2021-03-26,@Akron,6,3,Bowling Green State,3
2021-03-27,@Akron,1,7,Bowling Green State,-6
2021-03-27,@Akron,0,6,Bowling Green State,-6
2021-03-28,@Akron,2,3,Bowling Green State,-1
2021-03-30,@Dayton,7,18,Dayton,-11
2021-04-02,@Western Michigan,0,10,Western Michigan,-10
2021-04-03,@Western Michigan,2,13,Western Michigan,-11
2021-04-03,@Western Michigan,6,7,Western Michigan,-1
2021-04-04,@Western Michigan,0,3,Western Michigan,-3
2021-04-07,@Akron,3,9,Walsh University,-6
2021-04-09,@Akron,3,7,Ball State,-4
2021-04-10,@Akron,2,4,Ball State,-2
2021-04-10,@Akron,0,10,Ball State,-10
2021-04-11,@Akron,2,13,Ball State,-11
2021-04-14,@Akron,5,11,Malone,-6
2021-04-16,@Toledo,1,6,Toledo,-5
2021-04-17,@Toledo,0,7,Toledo,-7
2021-04-17,@Toledo,4,12,Toledo,-8
2021-04-18,@Toledo,2,12,Toledo,-10
2021-04-23,@Akron,1,13,Central Michigan,-12
2021-04-24,@Akron,0,12,Central Michigan,-12
2021-04-24,@Akron,2,3,Central Michigan,-1
2021-04-25,@Akron,2,15,Central Michigan,-13
2021-04-30,@Northern Illinois,6,7,Northern Illinois,-1
2021-05-01,@Northern Illinois,2,11,Northern Illinois,-9
2021-05-01,@Northern Illinois,1,3,Northern Illinois,-2
2021-05-02,@Northern Illinois,7,4,Northern Illinois,3
2021-05-07,@Kent State,3,13,Kent State,-10
2021-05-08,@Kent State,2,1,Kent State,1
2021-05-08,@Kent State,2,10,Kent State,-8
2021-05-10,@Kent State,3,8,Kent State,-5
2021-05-14,@Akron,4,2,Ohio,2
2021-05-15,@Akron,3,1,Ohio,2
2021-05-15,@Akron,0,4,Ohio,-4
2021-05-16,@Akron,9,8,Ohio,1
2021-05-21,"@Miami, Ohio",2,3,"Miami, Ohio",-1
2021-05-22,"@Miami, Ohio",2,9,"Miami, Ohio",-7
2021-05-22,"@Miami, Ohio",2,6,"Miami, Ohio",-4
2021-05-23,"@Miami, Ohio",1,6,"Miami, Ohio",-5
2021-05-25,@Kent State,9,6,Kent State,3
2021-02-19,@Alabama,10,6,McNeese State,4
2021-02-20,@Alabama,4,3,McNeese State,1
2021-02-21,@Alabama,9,5,McNeese State,4
2021-02-23,@Jacksonville State,5,2,Jacksonville State,3
2021-02-24,@Alabama,4,9,Tennessee-Martin,-5
2021-02-26,@Alabama,8,4,Wright State,4
2021-02-27,@Alabama,1,0,Wright State,1
2021-02-27,@Alabama,8,7,Wright State,1
2021-03-03,@Alabama,9,1,Troy,8
2021-03-05,@College of Charleston,8,0,College of Charleston,8
2021-03-06,@College of Charleston,0,1,College of Charleston,-1
2021-03-07,@College of Charleston,21,3,College of Charleston,18
2021-03-09,@Alabama,11,8,South Alabama,3
2021-03-10,@Alabama,7,2,Jacksonville State,5
2021-03-12,@Alabama,2,4,Stetson,-2
2021-03-13,@Alabama,4,3,Stetson,1
2021-03-14,@Alabama,9,4,Stetson,5
2021-03-19,@Arkansas,16,1,Arkansas,15
2021-03-20,@Arkansas,1,9,Arkansas,-8
2021-03-21,@Arkansas,1,3,Arkansas,-2
2021-03-23,@Alabama,4,5,Southern Mississippi,-1
2021-03-26,@Alabama,0,2,Mississippi,-2
2021-03-26,@Alabama,6,9,Mississippi,-3
2021-03-27,@Alabama,6,11,Mississippi,-5
2021-04-02,@Alabama,7,4,Tennessee,3
2021-04-03,@Alabama,4,8,Tennessee,-4
2021-04-04,@Alabama,8,9,Tennessee,-1
2021-04-07,@Alabama,3,5,Louisiana-Monroe,-2
2021-04-09,@Texas A&M,5,3,Texas A&M,2
2021-04-10,@Texas A&M,6,3,Texas A&M,3
2021-04-11,@Texas A&M,7,4,Texas A&M,3
2021-04-13,@Alabama,19,3,Samford,16
2021-04-15,@Alabama,8,7,Auburn,1
2021-04-16,@Alabama,4,5,Auburn,-1
2021-04-17,@Alabama,10,9,Auburn,1
2021-04-20,@Alabama,8,6,North Alabama,2
2021-04-23,@Kentucky,10,1,Kentucky,9
2021-04-25,@Kentucky,2,5,Kentucky,-3
2021-04-25,@Kentucky,0,11,Kentucky,-11
2021-04-27,@Alabama-Birmingham,9,3,Alabama-Birmingham,6
2021-04-30,@Alabama,11,8,Missouri,3
2021-05-01,@Alabama,5,2,Missouri,3
2021-05-02,@Alabama,3,2,Missouri,1
2021-05-07,@Vanderbilt,6,9,Vanderbilt,-3
2021-05-08,@Vanderbilt,2,6,Vanderbilt,-4
2021-05-14,@Louisiana State,1,2,Louisiana State,-1
2021-05-15,@Louisiana State,6,5,Louisiana State,1
2021-05-16,@Louisiana State,5,13,Louisiana State,-8
2021-05-20,@Alabama,2,4,Mississippi State,-2
2021-05-21,@Alabama,0,7,Mississippi State,-7
2021-05-22,@Alabama,3,7,Mississippi State,-4
2021-05-25,@South Carolina,9,3,South Carolina,6
2021-05-26,@Tennessee,3,2,Tennessee,1
2021-05-27,@Alabama,2,7,Florida,-5
2021-05-28,@Alabama,0,11,Tennessee,-11
2021-06-04,@North Carolina State,1,8,North Carolina State,-7
2021-06-05,@Alabama,3,1,Rider,2
2021-06-06,@Alabama,8,10,Louisiana Tech,-2
2021-02-23,@Auburn,2,18,Auburn,-16
2021-02-24,@Auburn,0,33,Auburn,-33
2021-02-26,@Alabama-Birmingham,2,22,Alabama-Birmingham,-20
2021-02-27,@Alabama-Birmingham,2,9,Alabama-Birmingham,-7
2021-02-28,@Alabama-Birmingham,3,7,Alabama-Birmingham,-4
2021-03-19,@Alabama A&M,9,2,Alcorn State,7
2021-03-20,@Alabama A&M,14,16,Alcorn State,-2
2021-03-21,@Alabama A&M,0,12,Alcorn State,-12
2021-03-26,@Jackson State,3,14,Jackson State,-11
2021-03-27,@Jackson State,0,16,Jackson State,-16
2021-03-28,@Jackson State,2,6,Jackson State,-4
2021-04-01,@Alabama A&M,10,8,Alabama State,2
2021-04-02,@Alabama A&M,0,15,Alabama State,-15
2021-04-03,@Alabama A&M,1,15,Alabama State,-14
2021-04-16,@Alabama A&M,3,1,Mississippi Valley State,2
2021-04-17,@Alabama A&M,21,6,Mississippi Valley State,15
2021-04-17,@Alabama A&M,10,9,Mississippi Valley State,1
2021-04-18,@Alabama A&M,8,7,Mississippi Valley State,1
2021-04-22,@Alcorn State,12,5,Alcorn State,7
2021-04-23,@Alcorn State,4,3,Alcorn State,1
2021-04-23,@Alcorn State,5,2,Alcorn State,3
2021-04-30,@Alabama A&M,0,13,Jackson State,-13
2021-05-01,@Alabama A&M,3,9,Jackson State,-6
2021-05-02,@Alabama A&M,3,9,Jackson State,-6
2021-05-07,@Alabama State,3,17,Alabama State,-14
2021-05-08,@Alabama State,3,9,Alabama State,-6
2021-05-09,@Alabama State,6,32,Alabama State,-26
2021-05-19,@Grambling State,1,8,Grambling State,-7
2021-05-20,@Alabama A&M,7,12,Texas Southern,-5
2021-02-20,@Tennessee Tech,3,5,Tennessee Tech,-2
2021-02-20,@Jacksonville State,3,5,Jacksonville State,-2
2021-02-21,@Alabama State,1,13,Southern Illinois,-12
2021-02-23,@Samford,11,9,Samford,2
2021-02-27,@Alabama State,1,2,Eastern Michigan,-1
2021-02-28,@Alabama State,3,4,Eastern Michigan,-1
2021-03-05,@Alabama State,7,8,Jackson State,-1
2021-03-06,@Alabama State,2,3,Jackson State,-1
2021-03-07,@Alabama State,3,4,Jackson State,-1
2021-03-10,@Alabama State,11,3,Samford,8
2021-03-12,@Alabama State,1,18,Bradley,-17
2021-03-13,@Alabama State,7,11,Bradley,-4
2021-03-14,@Alabama State,9,8,Bradley,1
2021-03-19,@Alabama State,10,1,Mississippi Valley State,9
2021-03-20,@Alabama State,14,0,Mississippi Valley State,14
2021-03-21,@Alabama State,8,2,Mississippi Valley State,6
2021-03-24,@Alabama State,3,16,Troy,-13
2021-03-26,@Alabama State,6,0,Alcorn State,6
2021-03-27,@Alabama State,11,1,Alcorn State,10
2021-03-27,@Alabama State,10,9,Alcorn State,1
2021-03-30,@Florida A&M,14,15,Florida A&M,-1
2021-04-01,@Alabama A&M,8,10,Alabama A&M,-2
2021-04-02,@Alabama A&M,15,0,Alabama A&M,15
2021-04-03,@Alabama A&M,15,1,Alabama A&M,14
2021-04-06,@Alabama State,10,3,North Alabama,7
2021-04-07,@Alabama State,10,14,Jacksonville State,-4
2021-04-09,@Jackson State,3,8,Jackson State,-5
2021-04-10,@Jackson State,8,9,Jackson State,-1
2021-04-11,@Jackson State,2,4,Jackson State,-2
2021-04-13,@Alabama State,7,6,Florida A&M,1
2021-04-16,@Alabama State,16,6,Grambling State,10
2021-04-17,@Alabama State,12,2,Grambling State,10
2021-04-18,@Alabama State,7,6,Grambling State,1
2021-04-30,@Alcorn State,13,0,Alcorn State,13
2021-05-01,@Alcorn State,12,3,Alcorn State,9
2021-05-01,@Alcorn State,3,0,Alcorn State,3
2021-05-05,@North Alabama,7,6,North Alabama,1
2021-05-07,@Alabama State,17,3,Alabama A&M,14
2021-05-08,@Alabama State,9,3,Alabama A&M,6
2021-05-09,@Alabama State,32,6,Alabama A&M,26
2021-05-19,@Alabama State,0,3,Southern,-3
2021-05-20,@Alabama State,2,3,Alcorn State,-1
2021-02-19,@Alabama-Birmingham,2,6,Valparaiso,-4
2021-02-20,@Alabama-Birmingham,8,2,Valparaiso,6
2021-02-21,@Alabama-Birmingham,4,1,Valparaiso,3
2021-02-23,@Troy,3,10,Troy,-7
2021-02-26,@Alabama-Birmingham,22,2,Alabama A&M,20
2021-02-27,@Alabama-Birmingham,9,2,Alabama A&M,7
2021-02-28,@Alabama-Birmingham,7,3,Alabama A&M,4
2021-03-05,@Alabama-Birmingham,2,3,Kennesaw State,-1
2021-03-06,@Alabama-Birmingham,3,9,Kennesaw State,-6
2021-03-07,@Alabama-Birmingham,8,7,Kennesaw State,1
2021-03-09,@Alabama-Birmingham,5,6,Auburn,-1
2021-03-12,@Georgia Southern,7,11,Georgia Southern,-4
2021-03-13,@Georgia Southern,4,15,Georgia Southern,-11
2021-03-14,@Georgia Southern,5,9,Georgia Southern,-4
2021-03-19,@Alabama-Birmingham,0,1,Indiana State,-1
2021-03-20,@Alabama-Birmingham,8,10,Indiana State,-2
2021-03-21,@Alabama-Birmingham,11,4,Indiana State,7
2021-03-23,@Alabama-Birmingham,1,5,Samford,-4
2021-03-26,@Alabama-Birmingham,9,11,Middle Tennessee State,-2
2021-03-26,@Alabama-Birmingham,8,0,Middle Tennessee State,8
2021-03-27,@Alabama-Birmingham,8,5,Middle Tennessee State,3
2021-03-28,@Alabama-Birmingham,1,3,Middle Tennessee State,-2
2021-04-01,@Louisiana Tech,1,16,Louisiana Tech,-15
2021-04-02,@Louisiana Tech,4,6,Louisiana Tech,-2
2021-04-02,@Louisiana Tech,9,3,Louisiana Tech,6
2021-04-03,@Louisiana Tech,0,6,Louisiana Tech,-6
2021-04-09,@Southern Mississippi,2,7,Southern Mississippi,-5
2021-04-10,@Southern Mississippi,2,9,Southern Mississippi,-7
2021-04-10,@Southern Mississippi,1,4,Southern Mississippi,-3
2021-04-11,@Southern Mississippi,4,14,Southern Mississippi,-10
2021-04-13,@Alabama-Birmingham,4,12,Troy,-8
2021-04-16,@Alabama-Birmingham,7,6,Florida Atlantic,1
2021-04-17,@Alabama-Birmingham,4,2,Florida Atlantic,2
2021-04-17,@Alabama-Birmingham,1,2,Florida Atlantic,-1
2021-04-18,@Alabama-Birmingham,3,5,Florida Atlantic,-2
2021-04-20,@Mississippi State,7,19,Mississippi State,-12
2021-04-23,@Middle Tennessee State,4,2,Middle Tennessee State,2
2021-04-23,@Middle Tennessee State,2,5,Middle Tennessee State,-3
2021-04-24,@Middle Tennessee State,7,17,Middle Tennessee State,-10
2021-04-25,@Middle Tennessee State,2,3,Middle Tennessee State,-1
2021-04-27,@Alabama-Birmingham,3,9,Alabama,-6
2021-04-30,@Alabama-Birmingham,4,2,Texas-San Antonio,2
2021-05-01,@Alabama-Birmingham,6,4,Texas-San Antonio,2
2021-05-01,@Alabama-Birmingham,3,14,Texas-San Antonio,-11
2021-05-02,@Alabama-Birmingham,14,16,Texas-San Antonio,-2
2021-05-07,@Alabama-Birmingham,1,6,Rice,-5
2021-05-08,@Alabama-Birmingham,0,7,Rice,-7
2021-05-08,@Alabama-Birmingham,2,1,Rice,1
2021-05-09,@Alabama-Birmingham,5,10,Rice,-5
2021-05-14,@Marshall,6,8,Marshall,-2
2021-05-15,@Marshall,9,0,Marshall,9
2021-05-15,@Marshall,6,0,Marshall,6
2021-05-16,@Marshall,5,7,Marshall,-2
2021-05-18,@Samford,4,9,Samford,-5
2021-03-06,@Seton Hall,4,3,Seton Hall,1
2021-03-06,@Seton Hall,0,12,Seton Hall,-12
2021-03-07,@Central Connecticut State,6,15,Central Connecticut State,-9
2021-03-09,@Northeastern,1,10,Northeastern,-9
2021-03-10,@Merrimack,5,14,Merrimack,-9
2021-03-13,@Army,4,12,Army,-8
2021-03-13,@Army,4,1,Army,3
2021-03-20,@New Jersey Tech,3,5,New Jersey Tech,-2
2021-03-20,@New Jersey Tech,3,2,New Jersey Tech,1
2021-03-21,@New Jersey Tech,4,2,New Jersey Tech,2
2021-03-21,@New Jersey Tech,5,4,New Jersey Tech,1
2021-03-26,@Albany,11,14,Stony Brook,-3
2021-03-27,@Albany,3,9,Stony Brook,-6
2021-03-27,@Albany,6,14,Stony Brook,-8
2021-03-28,@Albany,0,11,Stony Brook,-11
2021-04-03,@Albany,5,1,Maryland-Baltimore County,4
2021-04-03,@Albany,6,0,Maryland-Baltimore County,6
2021-04-04,@Albany,4,7,Maryland-Baltimore County,-3
2021-04-04,@Albany,6,11,Maryland-Baltimore County,-5
2021-04-10,@Binghamton,5,3,Binghamton,2
2021-04-10,@Binghamton,7,3,Binghamton,4
2021-04-17,@Albany,2,5,Massachusetts-Lowell,-3
2021-04-17,@Albany,18,4,Massachusetts-Lowell,14
2021-04-18,@Albany,11,10,Massachusetts-Lowell,1
2021-04-18,@Albany,4,1,Massachusetts-Lowell,3
2021-04-23,@Hartford,3,4,Hartford,-1
2021-04-23,@Hartford,10,1,Hartford,9
2021-04-24,@Hartford,7,8,Hartford,-1
2021-04-24,@Hartford,6,12,Hartford,-6
2021-05-01,@Albany,2,14,Maine,-12
2021-05-01,@Albany,6,7,Maine,-1
2021-05-02,@Albany,23,11,Maine,12
2021-05-02,@Albany,4,3,Maine,1
2021-05-08,@Albany,3,2,Hartford,1
2021-05-08,@Albany,0,4,Hartford,-4
2021-05-09,@Albany,11,7,Hartford,4
2021-05-09,@Albany,5,4,Hartford,1
2021-05-15,@Massachusetts-Lowell,3,4,Massachusetts-Lowell,-1
2021-05-15,@Massachusetts-Lowell,7,4,Massachusetts-Lowell,3
2021-05-16,@Massachusetts-Lowell,4,3,Massachusetts-Lowell,1
2021-05-16,@Massachusetts-Lowell,6,7,Massachusetts-Lowell,-1
2021-05-21,@Maine,9,3,Maine,6
2021-05-21,@Maine,3,0,Maine,3
2021-05-22,@Maine,2,4,Maine,-2
2021-05-22,@Maine,5,6,Maine,-1
2021-05-27,@Albany,4,5,New Jersey Tech,-1
2021-05-28,@Stony Brook,2,3,Stony Brook,-1
2021-03-05,@Mississippi Valley State,16,3,Mississippi Valley State,13
2021-03-06,@Mississippi Valley State,9,1,Mississippi Valley State,8
2021-03-07,@Mississippi Valley State,14,1,Mississippi Valley State,13
2021-03-09,@Mississippi,1,11,Mississippi,-10
2021-03-12,@Alcorn State,2,7,Jackson State,-5
2021-03-13,@Alcorn State,5,10,Jackson State,-5
2021-03-14,@Alcorn State,6,30,Jackson State,-24
2021-03-19,@Alabama A&M,2,9,Alabama A&M,-7
2021-03-20,@Alabama A&M,16,14,Alabama A&M,2
2021-03-21,@Alabama A&M,12,0,Alabama A&M,12
2021-03-26,@Alabama State,0,6,Alabama State,-6
2021-03-27,@Alabama State,1,11,Alabama State,-10
2021-03-27,@Alabama State,9,10,Alabama State,-1
2021-04-06,@Mississippi,1,8,Mississippi,-7
2021-04-11,@Alcorn State,14,9,Mississippi Valley State,5
2021-04-16,@Jackson State,0,10,Jackson State,-10
2021-04-17,@Jackson State,4,6,Jackson State,-2
2021-04-18,@Jackson State,0,11,Jackson State,-11
2021-04-22,@Alcorn State,5,12,Alabama A&M,-7
2021-04-23,@Alcorn State,3,4,Alabama A&M,-1
2021-04-23,@Alcorn State,2,5,Alabama A&M,-3
2021-04-30,@Alcorn State,0,13,Alabama State,-13
2021-05-01,@Alcorn State,3,12,Alabama State,-9
2021-05-01,@Alcorn State,0,3,Alabama State,-3
2021-05-19,@Prairie View A&M,0,2,Prairie View A&M,-2
2021-05-20,@Alabama State,3,2,Alabama State,1
2021-05-21,@Southern,5,10,Southern,-5
2021-02-20,@Winthrop,4,0,Winthrop,4
2021-02-20,@Winthrop,4,1,Winthrop,3
2021-02-21,@Winthrop,9,10,Winthrop,-1
2021-02-23,@East Tennessee State,5,4,East Tennessee State,1
2021-02-27,@Appalachian State,6,2,North Carolina A&T,4
2021-02-27,@Appalachian State,7,6,North Carolina A&T,1
2021-02-28,@North Carolina A&T,3,11,North Carolina A&T,-8
2021-03-02,@Appalachian State,14,7,North Carolina A&T,7
2021-03-05,@East Carolina,2,13,East Carolina,-11
2021-03-06,@East Carolina,2,5,East Carolina,-3
2021-03-07,@East Carolina,2,10,East Carolina,-8
2021-03-12,@North Carolina-Wilmington,1,6,North Carolina-Wilmington,-5
2021-03-13,@North Carolina-Wilmington,1,4,North Carolina-Wilmington,-3
2021-03-14,@North Carolina-Wilmington,1,7,North Carolina-Wilmington,-6
2021-03-16,@Appalachian State,14,5,North Carolina A&T,9
2021-03-19,@Appalachian State,5,4,Arkansas State,1
2021-03-20,@Appalachian State,8,3,Arkansas State,5
2021-03-21,@Appalachian State,12,2,Arkansas State,10
2021-03-23,@North Carolina-Charlotte,5,15,North Carolina-Charlotte,-10
2021-03-26,@Georgia Southern,1,3,Georgia Southern,-2
2021-03-27,@Georgia Southern,2,10,Georgia Southern,-8
2021-03-28,@Georgia Southern,3,1,Georgia Southern,2
2021-03-30,@Wake Forest,7,15,Wake Forest,-8
2021-04-06,@North Carolina State,2,13,North Carolina State,-11
2021-04-09,@Appalachian State,4,2,Georgia State,2
2021-04-11,@Appalachian State,13,15,Georgia State,-2
2021-04-11,@Appalachian State,9,7,Georgia State,2
2021-04-13,@Appalachian State,0,12,Wake Forest,-12
2021-04-16,@Lipscomb,9,5,Lipscomb,4
2021-04-17,@Lipscomb,2,4,Lipscomb,-2
2021-04-18,@Lipscomb,4,3,Lipscomb,1
2021-04-20,@Appalachian State,8,11,North Carolina-Charlotte,-3
2021-04-23,@Troy,0,2,Troy,-2
2021-04-25,@Troy,2,12,Troy,-10
2021-04-25,@Troy,4,9,Troy,-5
2021-04-27,@Appalachian State,3,7,North Carolina State,-4
2021-04-30,@Appalachian State,6,4,Louisiana-Monroe,2
2021-05-01,@Appalachian State,7,10,Louisiana-Monroe,-3
2021-05-02,@Appalachian State,5,13,Louisiana-Monroe,-8
2021-05-07,"@Miami, Florida",2,4,"Miami, Florida",-2
2021-05-08,"@Miami, Florida",1,16,"Miami, Florida",-15
2021-05-09,"@Miami, Florida",2,10,"Miami, Florida",-8
2021-05-11,@Appalachian State,5,10,East Tennessee State,-5
2021-05-14,@Arkansas-Little Rock,2,1,Arkansas-Little Rock,1
2021-05-15,@Arkansas-Little Rock,2,4,Arkansas-Little Rock,-2
2021-05-16,@Arkansas-Little Rock,5,0,Arkansas-Little Rock,5
2021-05-18,@South Carolina,0,2,South Carolina,-2
2021-05-20,@Appalachian State,6,4,South Alabama,2
2021-05-21,@Appalachian State,4,2,South Alabama,2
2021-05-22,@Appalachian State,3,13,South Alabama,-10
2021-05-25,@Appalachian State,1,0,Texas State,1
2021-05-27,@Louisiana-Lafayette,2,7,Louisiana-Lafayette,-5
2021-02-19,@Arizona,3,0,Ball State,3
2021-02-20,@Arizona,7,8,Ball State,-1
2021-02-21,@Arizona,2,5,Ball State,-3
2021-02-22,@Arizona,11,5,Ball State,6
2021-02-25,@Arizona,7,4,Southeastern Louisiana,3
2021-02-26,@Arizona,13,11,Southeastern Louisiana,2
2021-02-27,@Arizona,4,3,Southeastern Louisiana,1
2021-02-28,@Arizona,14,2,Southeastern Louisiana,12
2021-03-04,@Oklahoma,20,13,Oklahoma,7
2021-03-05,@Arizona,12,1,Oklahoma,11
2021-03-06,@Arizona,15,8,Dallas Baptist,7
2021-03-07,@Missouri,8,4,Missouri,4
2021-03-11,@Arizona,8,5,Wichita State,3
2021-03-12,@Arizona,9,10,Wichita State,-1
2021-03-13,@Arizona,2,5,Air Force,-3
2021-03-14,@Arizona,14,5,Air Force,9
2021-03-19,@UCLA,2,3,UCLA,-1
2021-03-20,@UCLA,7,3,UCLA,4
2021-03-21,@UCLA,3,11,UCLA,-8
2021-03-22,@Loyola Marymount,18,2,Loyola Marymount,16
2021-03-26,@Arizona,5,4,Oregon,1
2021-03-27,@Arizona,15,2,Oregon,13
2021-03-28,@Arizona,13,18,Oregon,-5
2021-04-01,@Arizona State,10,5,Arizona State,5
2021-04-02,@Arizona State,7,6,Arizona State,1
2021-04-03,@Arizona State,2,3,Arizona State,-1
