Jersey,name,Yr,pos,GP,GS,App,GS,ERA,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,pickoffs,season
44,Eric Wimpee,Sr,P,22,8,3,0,1.50,6.0,0,2,1,1,2,6,0,24,19,0,0,1,0,0,2,0,5,0,0,1,95,2,9,0,0,0,1,0,2021
35,Tanner Riley,Sr,P,22,0,22,0,4.31,39.2,0,35,21,19,28,53,0,186,150,5,0,0,3,7,4,4,21,7,2,2,631,32,30,6,2,9,18,0,2021
45,Max Huffing,Fr,p,22,3,22,3,4.03,51.1,0,39,29,23,40,56,0,235,179,9,0,0,3,7,8,1,20,7,5,3,907,34,54,7,1,1,15,2,2021
39,C. Carlton,So,p,18,0,18,0,8.27,20.2,0,23,21,19,16,27,0,100,80,5,1,0,2,10,0,0,25,12,3,1,351,27,6,1,1,2,5,0,2021
21,Tyler Morgan,So,P,17,11,17,11,5.83,71.0,0,68,52,46,40,69,0,324,270,18,2,0,7,11,8,0,7,3,4,2,1129,71,65,3,3,0,20,0,2021
7,Genner Cervantes,Sr,P,15,15,15,15,7.01,69.1,2,83,64,54,37,47,1,330,282,17,2,1,9,12,6,0,0,0,3,2,1105,85,63,7,2,0,14,0,2021
20,Spencer Chirpich,Sr,P,15,14,15,14,5.58,71.0,1,98,58,44,17,57,0,335,305,15,4,0,2,5,6,0,1,1,5,2,1089,96,52,6,5,0,14,0,2021
39,Adam Stephenson,So,P,15,13,15,13,3.72,72.2,0,67,38,30,50,68,0,330,269,11,0,0,2,8,2,0,1,0,7,2,1182,66,73,1,4,0,15,2,2021
29,Carter Sells,So,P,14,0,14,0,5.06,16.0,0,14,10,9,15,18,0,79,56,0,1,0,1,2,4,0,13,5,2,2,318,12,16,0,1,0,4,0,2021
14,Austin Glaze,So,P,14,1,14,1,4.66,29.0,0,23,19,15,17,33,0,129,105,8,1,0,3,3,3,1,14,4,3,1,485,16,33,4,1,0,9,0,2021
0,Trevor Jackson,Sr,P,11,0,11,0,7.56,16.2,0,22,14,14,19,17,0,96,70,6,0,0,1,6,6,0,15,7,1,0,370,17,14,1,1,0,2,0,2021
43,Nick Norton,So,p,10,0,10,0,6.35,5.2,0,5,5,4,10,6,0,33,20,2,0,0,1,4,2,0,11,3,1,0,138,6,3,0,0,0,4,0,2021
