Jersey,name,Yr,pos,GP,GS,App,GS,ERA,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,pickoffs,season
15,Owen Cuffe,So,P,4,0,4,0,17.05,6.1,0,12,12,12,8,11,0,38,30,0,0,0,2,6,0,0,1,0,0,0,159,5,2,0,0,0,3,0,2021
17,Austin Ruesch,Sr,P,3,0,3,0,14.73,3.2,0,5,6,6,5,4,0,21,16,0,0,0,3,2,0,0,6,6,0,0,33,3,4,0,0,0,1,0,2021
19,Zach Smith,Sr,INF,2,0,2,0,3.86,2.1,0,3,1,1,0,1,0,10,10,1,0,0,0,0,0,0,1,1,0,0,19,2,4,0,0,0,0,0,2021
26,Jack Junker,So,p,1,0,1,0,9.00,1.0,0,1,1,1,0,0,0,5,3,1,0,0,0,0,1,0,0,0,0,1,16,2,1,0,0,0,0,0,2021
23,Paul Skenes,Fr,UT,48,48,18,0,2.70,26.2,0,20,10,8,9,30,0,110,96,1,0,0,3,4,1,0,4,1,3,1,417,32,15,1,1,11,5,1,2021
31,Zach Argo,Jr,P,18,5,18,5,5.40,35.0,0,42,29,21,15,23,0,166,139,12,1,1,4,5,8,1,13,5,2,2,471,28,47,2,2,0,5,0,2021
30,Doyle Gehring,Fr,P,16,3,16,3,8.13,31.0,0,41,29,28,19,21,0,155,131,4,0,0,7,0,3,0,5,4,0,2,486,29,42,0,2,1,6,0,2021
13,Joe Martinez Iii,Sr,P,16,0,16,0,12.10,9.2,0,16,13,13,3,6,0,48,41,7,1,0,1,1,2,0,21,8,0,2,146,9,12,1,0,0,0,0,2021
36,Robert Martin,Jr,P,16,2,16,2,3.62,37.1,0,31,20,15,20,36,0,162,137,7,1,1,3,5,3,0,8,3,2,0,626,42,29,4,1,1,6,0,2021
11,Cj Dornak,Jr,P,15,1,15,1,10.46,26.2,0,45,38,31,11,19,0,141,126,5,2,0,6,0,3,0,7,5,1,0,437,32,26,4,1,0,7,0,2021
28,Stevan Fairburn Jr.,Jr,P,15,15,15,15,6.75,61.1,0,79,54,46,23,44,0,290,253,19,2,1,14,5,10,1,0,0,1,3,845,67,62,5,5,0,9,1,2021
29,Jason Shuger,So,P,14,7,14,7,7.16,44.0,0,53,39,35,35,44,0,222,173,14,3,0,2,11,10,0,6,5,1,3,833,38,41,2,5,0,14,0,2021
27,John Byrnes,Sr,P,14,14,14,14,3.86,67.2,0,61,39,29,27,59,0,289,247,15,4,1,4,9,9,0,0,0,4,2,983,68,62,5,4,0,10,7,2021
14,Ben Hauser,Sr,UT,14,0,14,0,5.71,17.1,0,24,11,11,8,17,0,83,71,8,1,1,1,2,0,0,3,3,1,3,283,11,22,1,0,1,3,0,2021
38,Nathan Price,Jr,P,11,0,11,0,9.75,12.0,0,20,14,13,7,5,0,65,53,6,0,0,4,1,4,0,10,6,1,0,187,14,15,0,0,1,1,0,2021
17,Luke Chilcutt,Sr,P,7,0,7,0,14.09,7.2,0,10,13,12,9,6,0,43,31,2,1,0,2,2,1,0,2,0,1,1,132,7,10,1,0,0,2,0,2021
21,Connor Bright,Jr,P,7,0,7,0,7.50,12.0,0,15,12,10,12,7,0,62,46,2,0,0,2,1,3,0,4,3,0,1,179,15,9,0,0,0,2,0,2021
44,Ryan Stohr,So,UT,7,0,3,0,11.81,5.1,0,13,7,7,4,1,0,30,25,2,1,0,0,1,1,0,0,0,0,0,51,8,3,0,0,0,0,0,2021
19,Duke Benge,So,UT,5,0,5,0,7.88,8.0,0,12,7,7,1,6,0,36,33,5,0,0,2,1,1,0,8,6,0,1,112,7,9,0,0,0,1,0,2021
35,Jake Sansing,So,P,5,1,5,1,11.17,9.2,0,21,13,12,3,4,0,50,46,6,0,0,2,2,0,0,4,2,0,1,113,8,13,0,1,0,2,0,2021
32,Kyle Moats,Fr,P,1,0,1,0,54.00,0.1,0,0,2,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,2021
33,Mitchell Woelfle,So,P,1,0,1,0,0.00,1.1,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,2021
23,Jackson Miller,So,P,21,7,12,2,6.25,31.2,0,29,24,22,31,23,0,157,117,8,0,0,5,10,3,1,8,6,3,3,438,36,34,0,1,0,3,1,2021
31,Mark Meyer,Sr,P,15,3,15,3,6.93,24.2,0,35,23,19,14,25,0,129,109,8,1,1,5,7,4,2,7,2,2,0,386,19,29,3,4,4,6,1,2021
28,Matthew Radtka,Sr,P,15,0,15,0,4.26,19.0,0,20,11,9,11,19,0,91,63,4,0,0,1,1,7,0,7,5,6,4,193,18,16,0,2,0,5,0,2021
35,Brady Mehl,Sr,P,14,0,14,0,9.86,21.0,0,29,23,23,11,17,0,105,88,4,0,2,3,6,1,0,14,7,4,1,218,29,17,0,1,0,7,0,2021
36,Spencer Atkins,Fr,P,13,0,13,0,8.85,20.1,0,30,22,20,9,10,0,107,87,8,0,0,2,5,6,0,9,8,3,2,286,26,23,0,0,0,4,0,2021
40,Taed Heydinger,Sr,P,12,11,12,11,5.16,59.1,2,65,38,34,31,45,0,275,232,11,3,0,3,5,4,0,0,0,6,2,645,57,63,1,7,0,11,0,2021
50,John Creel,Sr,P,11,7,11,7,6.52,29.0,0,14,22,21,37,34,0,150,90,0,0,0,1,6,16,0,0,0,2,5,153,23,26,4,3,0,4,1,2021
11,Tyler Gault,Sr,P,11,0,11,0,12.00,18.0,0,29,30,24,25,10,0,110,79,8,1,0,5,4,4,0,4,2,0,2,207,17,21,1,1,0,3,0,2021
33,Sammy Tortorella,Fr,P,9,7,9,7,11.17,29.0,0,38,41,36,22,13,0,154,121,5,0,0,7,6,6,0,0,0,3,2,411,36,36,0,5,0,3,0,2021
32,Anthony  Fett,Fr,P,9,8,9,8,5.17,47.0,1,56,33,27,26,32,0,217,184,9,1,0,4,5,1,0,2,0,4,2,626,41,56,1,5,0,5,1,2021
18,Jacob Clark,So,P,8,3,8,3,8.88,25.1,1,37,29,25,8,16,0,128,107,2,0,0,5,4,6,0,3,1,5,2,349,30,26,0,3,0,2,0,2021
14,Conor Steinbaugh,Sr,P,7,7,7,7,2.89,37.1,1,28,16,12,1,39,0,147,139,4,0,0,3,4,4,0,0,0,2,1,214,42,29,3,2,0,8,0,2021
8,Yassir Kahook,Fr,P,7,0,7,0,8.36,14.0,0,18,15,13,8,5,0,70,54,2,0,0,2,1,4,0,8,2,1,3,102,16,18,1,0,1,0,0,2021
5,Dylan James,So,P,5,1,1,0,36.00,1.0,0,0,4,4,4,0,0,9,3,0,0,0,0,1,2,0,0,0,0,0,43,3,0,0,0,0,0,0,2021
6,Jackson Hickert,Sr,P,4,2,4,2,2.40,15.0,0,7,4,4,8,24,0,60,50,1,0,0,1,1,1,0,0,0,1,0,0,12,7,0,0,0,7,0,2021
27,Grayson Phillips,So,P,4,1,4,1,33.23,4.1,0,12,16,16,9,0,0,35,23,3,1,0,2,3,1,0,0,0,1,1,73,3,10,0,2,0,0,0,2021
30,William Freeman,Sr,P,24,4,24,4,2.22,56.2,0,43,17,14,11,39,0,222,205,8,1,0,5,7,2,0,14,7,3,1,719,68,55,2,1,1,16,0,2021
27,Chase Lee,Jr,P,22,0,22,0,1.33,40.2,0,29,8,6,14,51,0,167,144,5,0,0,4,2,5,2,16,7,3,0,613,33,31,7,0,7,15,0,2021
48,Landon Green,So,P,19,1,19,1,5.12,31.2,0,22,19,18,16,39,0,139,114,6,0,0,5,5,7,0,8,5,1,1,498,28,25,3,2,2,8,1,2021
13,Bryce Eblin,Fr,INF,18,10,2,0,20.25,1.1,0,2,3,3,2,1,0,8,5,1,0,0,0,0,1,0,0,0,0,0,32,0,2,0,0,0,0,0,2021
5,Tyler Ras,Jr,P,16,15,16,15,5.82,86.2,0,93,59,56,24,59,0,376,343,21,1,1,20,5,5,0,0,0,3,1,1336,88,102,7,5,0,22,2,2021
25,Dylan Smith,Jr,P,16,16,16,16,3.84,98.1,1,99,42,42,20,113,0,404,377,20,0,0,14,6,1,0,0,0,3,3,1554,84,85,2,8,0,26,2,2021
29,Connor Shamblin,Jr,P,15,6,15,6,4.70,46.0,0,44,26,24,16,44,0,200,177,8,0,0,5,5,5,0,7,5,2,0,791,55,31,4,2,1,14,0,2021
34,Jacob Mcnairy,Jr,P,15,3,15,3,5.59,37.0,0,45,26,23,9,27,0,163,149,11,1,0,4,1,1,0,12,7,1,3,584,47,33,1,1,0,9,0,2021
35,Jake Eddington,Fr,P,14,1,14,1,7.29,21.0,0,31,18,17,12,25,0,102,88,3,1,1,2,6,0,0,5,0,1,1,327,15,19,1,0,0,3,0,2021
26,Grayson Hitt,Fr,P,11,3,11,3,10.80,18.1,0,22,23,22,15,16,0,95,72,4,0,0,3,4,5,0,5,5,0,3,350,25,9,2,3,0,2,0,2021
40,Brock Guffey,Sr,P,11,0,11,0,5.65,14.1,0,16,9,9,9,16,0,69,57,5,0,0,1,2,1,0,10,6,0,2,286,14,12,0,1,2,5,0,2021
28,Eli Giles,Fr,P,10,0,10,0,9.69,13.0,0,25,15,14,6,16,0,67,57,4,2,1,2,1,1,0,5,4,2,1,206,13,5,0,1,0,3,0,2021
37,Hunter Ruth,Jr,P,9,0,9,0,5.87,15.1,0,19,10,10,5,14,0,68,61,7,0,0,1,1,0,0,3,1,1,1,206,18,11,0,0,1,4,0,2021
14,Antoine Jean,So,P,7,6,7,6,3.76,26.1,0,22,16,11,16,24,0,117,95,0,0,0,2,3,3,0,0,0,0,3,467,33,15,2,1,0,3,2,2021
4,Connor Prielipp,So,P,3,3,3,3,3.86,7.0,0,8,3,3,1,12,0,30,29,2,0,1,1,0,0,0,0,0,0,0,121,5,4,1,1,0,3,0,2021
9,Brayden Rowe,Fr,P,1,0,1,0,27.00,0.1,0,0,1,1,2,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,2021
28,Michael  Hovermill,Sr,P,13,4,13,4,16.14,29.0,0,56,58,52,19,27,0,172,142,12,3,1,3,6,5,1,6,4,2,4,196,24,36,2,4,1,6,0,2021
32,Peyton  Baker,Jr,P,12,9,10,8,8.34,45.1,1,70,49,42,20,30,0,235,198,13,4,0,5,5,9,4,2,2,4,4,270,48,49,2,5,0,13,1,2021
33,Logan Smith,So,C,11,2,10,2,13.50,20.0,0,33,31,30,11,11,0,107,86,9,1,0,2,5,3,1,14,9,1,6,70,17,29,0,2,0,3,0,2021
38,Josue Torres-Santos,Jr,P,10,2,10,2,8.91,34.1,1,59,44,34,13,26,0,183,162,11,3,0,8,2,2,0,10,10,2,4,171,26,45,1,1,1,11,0,2021
5,Jose Figueroa,Jr,P,10,8,10,8,7.17,42.2,1,61,45,34,26,56,0,219,185,8,3,0,4,10,3,0,0,0,3,2,163,29,38,4,4,0,14,1,2021
17,Khari Caver,So,P,10,0,4,0,14.29,5.2,0,12,10,9,9,4,0,40,28,4,0,0,0,1,1,0,5,4,0,2,118,4,9,0,0,0,1,0,2021
8,Jason Garcia,Fr,P,9,3,8,3,8.15,17.2,0,26,24,16,20,14,0,103,78,4,1,0,1,4,3,0,5,5,0,2,98,20,15,0,0,0,3,0,2021
1,Cole Stewart,Fr,P,6,0,6,0,12.60,10.0,0,16,19,14,13,6,0,60,46,8,1,0,0,2,1,0,10,6,0,0,91,9,14,0,0,0,2,0,2021
24,Jason Marono,Fr,P,5,1,5,1,10.66,12.2,0,15,18,15,9,5,0,63,45,1,1,0,1,0,3,0,3,1,2,4,19,7,22,0,2,0,1,0,2021
37,Yavier Febus,Fr,P,5,1,5,1,63.00,2.0,0,12,21,14,9,3,0,31,20,1,0,0,4,15,2,0,7,7,0,0,24,1,1,0,1,0,2,0,2021
22,Josue Espaillat-Garcia,Fr,P,4,0,4,0,19.29,4.2,0,6,10,10,7,6,0,28,19,2,0,0,0,3,1,0,8,0,0,1,88,4,4,0,0,0,1,0,2021
10,Brendon Lopez,Fr,P,2,0,2,0,27.00,2.0,0,4,6,6,3,1,0,14,9,1,0,0,1,1,1,0,0,0,0,1,0,2,3,0,0,0,0,0,2021
25,Trenton Jamison,Jr,INF,39,39,1,0,0.0,0.0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,15,0,0,0,0,0,0,0,2021
33,Payton Harris,Sr,P,20,0,20,0,1.29,42.0,0,18,12,6,17,58,0,160,135,2,0,1,1,2,3,0,22,5,5,0,370,21,39,2,1,3,24,1,2021
35,Ryan Velazquez,Sr,P,18,0,18,0,2.52,25.0,0,15,7,7,17,38,0,110,92,4,0,0,1,2,1,0,16,6,0,0,236,19,17,1,0,2,7,0,2021
37,Britt Buckelew,Sr,P,15,0,15,0,5.04,30.1,0,35,21,17,5,34,0,143,126,11,0,0,0,0,11,1,16,0,1,0,201,25,28,3,1,1,6,0,2021
23,Osvaldo Mendez,So,p,15,7,15,7,3.97,45.1,0,37,26,20,28,56,0,197,164,5,1,1,6,0,2,0,9,5,1,2,445,15,54,2,3,0,16,6,2021
29,Jordan Gould,Sr,P,13,5,13,5,4.71,36.1,0,44,23,19,22,41,0,182,157,12,1,0,2,6,2,0,9,5,0,1,175,30,36,4,1,0,12,0,2021
30,Breon Pooler,Sr,P,13,13,12,12,3.36,64.1,1,41,34,24,32,84,1,270,224,11,1,0,3,4,9,0,0,0,3,2,542,35,64,5,3,0,25,4,2021
36,Trevor Jurjevich,Sr,INF,11,1,6,0,7.56,8.1,0,10,10,7,3,7,0,42,35,4,0,0,0,1,2,0,4,1,0,2,58,7,11,0,0,0,0,0,2021
11,Jacknell Guzman,Sr,P,10,4,10,4,4.66,29.0,0,35,22,15,16,22,0,141,119,5,0,0,1,1,5,0,4,2,1,0,26,30,28,1,2,1,5,1,2021
16,Alexander Castro,Sr,P,9,1,9,1,13.03,9.2,0,21,15,14,6,10,0,59,49,6,0,0,0,1,3,0,4,1,1,0,85,10,7,0,2,1,6,0,2021
20,Ricardo Rivera,Jr,P,8,2,8,2,12.82,13.1,0,16,21,19,14,13,0,77,52,3,1,0,3,1,7,0,12,2,1,3,31,8,16,0,3,0,3,0,2021
38,Jeremy Rivera,Jr,P,6,5,6,5,4.28,27.1,0,29,14,13,16,27,0,128,107,5,0,0,0,6,2,0,3,1,2,1,309,32,20,3,0,1,11,0,2021
7,Austin King,Sr,P,6,6,6,6,4.74,19.0,0,26,12,10,9,18,0,93,80,7,0,0,1,3,4,0,0,0,0,0,128,19,16,2,2,0,5,1,2021
40,Nate Palmer,So,p,5,1,4,0,40.50,1.1,0,7,7,6,5,2,0,17,12,0,0,1,1,0,0,0,5,2,0,0,29,0,2,0,1,0,1,0,2021
32,Adiel Melendez,Fr,p,4,0,4,0,10.38,4.1,0,9,6,5,5,5,0,27,22,2,1,0,1,1,0,0,5,3,0,0,30,1,7,0,0,0,2,0,2021
44,Isaias Hernandez,Fr,p,1,0,1,0,40.50,0.2,0,3,3,3,0,0,0,5,5,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2021
8,Brady Greene,Jr,P,22,1,22,1,6.00,24.0,0,23,20,16,10,18,0,109,89,4,2,1,3,6,3,1,17,5,1,6,125,17,36,3,3,3,9,0,2021
20,Dylan Cunningham,Jr,P,19,1,19,1,7.85,18.1,0,28,17,16,13,14,0,96,78,7,0,0,2,4,2,0,20,9,2,1,178,19,19,1,3,1,7,0,2021
10,Tanner Rusk,Jr,P,18,3,18,3,9.61,19.2,0,25,22,21,11,14,0,100,81,4,1,0,3,5,6,0,19,10,0,2,125,21,21,1,3,0,7,0,2021
44,Collin Taylor,Jr,P,18,0,18,0,2.84,19.0,0,15,11,6,12,15,0,82,67,5,0,0,1,3,1,1,17,5,1,1,105,18,20,0,1,0,6,0,2021
50,Evan Ingram,Sr,P,17,0,17,0,4.56,25.2,0,21,20,13,15,19,0,117,92,4,0,0,1,3,4,0,7,2,2,4,201,25,30,1,3,1,6,0,2021
45,Sam Brace,Sr,P,17,0,17,0,6.65,23.0,0,26,20,17,9,12,0,104,90,7,1,0,0,2,2,0,20,7,0,3,193,19,32,0,0,0,4,5,2021
36,Tyler O'Clair,So,P,13,13,13,13,4.04,78.0,1,71,46,35,28,64,1,335,297,18,3,0,10,6,4,0,0,0,1,5,469,67,96,5,4,0,15,1,2021
29,Jonah Smith,Fr,P,13,0,13,0,8.04,15.2,0,16,17,14,10,6,0,78,58,2,2,0,3,1,6,0,18,5,1,3,119,13,26,0,1,0,2,0,2021
12,Austin Bohannon,Sr,P,13,11,13,11,5.19,59.0,0,61,40,34,29,28,0,272,227,16,2,0,8,10,9,0,0,0,2,5,396,49,91,0,6,0,6,0,2021
37,Carson Knight,Fr,P,13,9,13,9,11.57,32.2,0,51,47,42,20,27,0,174,142,12,1,1,5,4,8,1,3,3,1,3,310,30,35,2,4,0,14,3,2021
31,Riley Davis,Jr,P,13,13,13,13,3.74,79.1,3,83,41,33,24,60,1,349,310,17,1,1,6,6,9,0,0,0,3,3,479,70,96,4,5,0,16,1,2021
26,Jordan Bonk,Jr,P,12,2,12,2,7.20,10.0,0,15,13,8,10,9,0,60,48,5,0,0,1,2,1,0,11,6,0,1,78,5,15,0,2,0,3,0,2021
38,Nick Wright,Fr,P,11,1,11,1,4.50,12.0,0,16,8,6,6,7,0,62,54,2,0,0,3,1,1,0,15,13,1,0,117,12,16,1,0,0,5,0,2021
40,Matthew Reed,So,P,11,0,11,0,9.49,12.1,0,18,17,13,10,9,0,65,50,2,1,0,2,1,2,0,5,2,1,2,121,9,14,0,1,0,5,0,2021
24,Troy Cordrey,So,P,8,0,8,0,7.71,4.2,0,4,6,4,8,3,0,30,18,1,0,0,0,1,4,1,4,3,0,0,24,3,7,0,0,0,1,0,2021
34,Blake Petty,So,P,3,0,3,0,27.00,2.1,0,8,8,7,1,2,0,17,16,1,0,0,2,1,0,0,0,0,0,0,25,1,4,0,0,0,0,0,2021
11,Ian Mcwilliams,Jr,P,1,0,1,0,0.0,0.0,0,2,3,3,2,0,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8,Rob Manetta,Fr,p,19,1,19,1,4.55,31.2,0,26,17,16,16,24,0,145,120,3,1,0,4,4,8,0,14,4,0,1,366,30,37,2,3,1,3,0,2021
4,Chase Carroll,Fr,p,17,7,6,1,14.21,6.1,0,12,12,10,7,5,0,40,29,0,0,0,1,1,1,0,0,0,2,1,73,5,6,0,1,0,1,1,2021
33,Steven Turk,Fr,P,13,0,13,0,5.48,23.0,0,23,14,14,7,12,0,103,88,4,0,0,2,4,6,0,0,0,1,1,177,22,33,1,0,0,5,0,2021
35,Ray Weber,Sr,P,13,13,13,13,3.69,83.0,4,76,35,34,34,46,1,354,303,17,3,1,6,3,9,0,0,0,2,5,721,77,108,7,2,0,15,5,2021
9,Cregg Scherrer,So,P,13,12,13,12,4.92,64.0,2,65,54,35,40,52,0,302,248,8,2,1,5,9,8,0,0,0,1,5,701,86,45,4,4,0,20,1,2021
22,Connor Eisenmann,Fr,p,12,5,12,5,5.95,39.1,0,38,28,26,28,45,0,192,149,8,1,2,2,4,8,1,8,5,5,2,358,30,39,2,5,1,13,0,2021
18,Anthony Germinerio,Jr,P,11,10,11,10,3.97,59.0,1,57,32,26,17,54,0,256,225,8,1,0,3,8,8,1,0,0,5,1,530,63,53,3,5,0,14,4,2021
17,Connor Takacs,Sr,P,9,4,9,4,6.51,27.2,0,29,27,20,16,16,0,130,106,6,1,1,3,4,5,0,7,4,2,1,245,33,30,0,2,0,3,0,2021
40,Anthony Fusco,So,P,9,1,9,1,7.84,10.1,0,17,13,9,5,9,0,54,48,4,3,0,0,1,1,0,5,1,0,0,142,12,9,1,2,2,3,1,2021
2,Marshall Winn,Sr,OF,8,0,8,0,10.00,9.0,0,8,10,10,9,12,0,45,34,1,0,1,1,2,2,0,2,0,0,0,140,3,11,0,0,0,6,0,2021
39,Kyle Menaker,So,P,7,0,7,0,10.29,7.0,0,10,8,8,3,4,0,36,29,4,0,0,0,3,2,0,3,1,1,1,58,8,9,0,0,0,1,0,2021
14,Joe Kruszka,Sr,P,4,0,4,0,13.50,7.1,0,7,12,11,10,11,0,38,27,0,0,0,3,1,1,0,2,0,0,0,108,3,6,2,1,0,1,0,2021
23,Owen Birkman,Fr,p,3,0,3,0,6.75,4.0,0,6,10,3,4,1,0,27,19,0,1,0,1,1,3,0,0,0,0,1,64,6,5,0,0,0,0,0,2021
34,Kenny Mclean,Sr,P,2,0,2,0,4.50,2.0,0,2,1,1,3,2,0,11,8,0,0,0,0,1,0,0,0,0,0,0,49,0,4,0,0,0,1,0,2021
15,Frank Furey,So,P,2,0,2,0,46.29,2.1,0,10,16,12,6,1,0,26,17,1,0,0,2,3,3,0,0,0,0,0,37,4,1,0,0,0,0,0,2021
30,Camden Wypior,Fr,P,1,0,1,0,0.00,0.2,0,0,0,0,3,2,0,6,2,0,0,0,0,0,1,0,1,1,0,0,29,0,0,0,0,0,0,0,2021
5,Tyler Smith,Sr,UT,25,25,1,0,0.00,0.2,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021
32,Garrett Palladino,Fr,ss/p,18,16,2,0,18.00,2.0,0,4,4,4,2,1,0,12,7,2,0,0,0,1,1,0,3,3,0,2,27,0,4,0,0,0,0,0,2021
9,Jose Fernandez,Sr,P,10,9,10,9,2.35,61.1,2,50,30,16,21,55,0,260,224,11,2,5,0,5,8,0,1,0,4,3,508,62,57,1,7,1,16,0,2021
28,Joe Smith,Sr,P,10,0,10,0,12.86,14.0,0,19,21,20,13,17,0,82,58,2,0,0,1,1,6,1,9,3,3,2,163,8,16,0,0,0,4,0,2021
22,Raylan Wagner,Fr,p,10,1,10,1,11.81,16.0,0,30,26,21,11,19,0,94,79,7,2,0,2,2,1,0,2,2,1,2,83,14,14,1,3,0,3,0,2021
12,Devin Puckett,Fr,p,9,0,9,0,12.60,10.0,0,14,14,14,13,12,0,61,42,1,1,0,2,7,4,0,9,8,1,1,101,12,5,1,0,0,4,0,2021
7,Andrew Meadows,Jr,P,9,0,9,0,10.24,9.2,0,10,15,11,16,9,0,64,38,1,1,0,0,6,8,0,3,2,1,1,117,11,8,0,1,0,3,0,2021
14,George Osborne Iii,Jr,P,9,4,9,4,8.06,25.2,0,29,29,23,30,28,0,132,94,4,1,0,0,4,6,0,4,2,1,1,360,25,10,0,3,0,9,0,2021
15,Xerian Ximines,Fr,p,9,1,9,1,16.36,11.0,0,18,24,20,18,8,0,71,47,5,2,0,0,5,2,0,5,4,1,3,120,10,13,0,0,0,1,0,2021
23,Kobe Head,Fr,p,8,8,8,8,6.92,39.0,1,50,36,30,19,28,1,184,157,8,1,0,3,0,2,0,0,0,3,3,385,44,35,3,5,0,10,0,2021
6,Lane Gordon,Sr,P,7,4,7,4,5.47,24.2,0,34,17,15,8,17,0,113,102,3,6,0,1,0,0,1,0,0,3,0,74,31,22,1,1,1,5,0,2021
17,Diego Lopez-Molina,So,P,2,0,2,0,27.00,1.1,0,1,4,4,3,2,0,10,5,0,0,0,0,0,2,0,6,3,0,0,0,1,1,0,0,0,0,0,2021
34,Phillip Cole,Jr,OF,48,40,2,0,0.00,2.0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,31,1,1,0,0,0,1,0,2021
32,Andrew Terrell,Jr,UT,47,39,9,2,8.76,12.1,0,17,12,12,5,18,0,64,56,7,0,0,2,0,3,0,3,2,0,0,241,17,3,1,2,2,5,0,2021
29,Eli Ellington,Jr,P,26,0,26,0,3.50,46.1,0,30,18,18,17,52,0,190,167,10,0,0,4,7,4,0,21,11,1,1,770,36,50,3,0,5,15,0,2021
16,Noah Hall,So,P,18,5,18,5,3.99,49.2,0,39,25,22,23,52,0,209,179,8,1,0,5,4,2,1,7,3,3,2,734,51,38,5,1,3,14,0,2021
20,Andrew Papp,Sr,P,18,0,18,0,7.00,18.0,0,29,16,14,7,15,0,92,77,3,1,0,1,1,2,1,6,3,1,5,294,13,24,0,0,1,3,0,2021
26,Jason Cornatzer,Jr,P,16,2,16,2,7.71,35.0,0,49,32,30,15,40,0,170,150,13,2,0,3,4,3,0,10,5,1,1,635,39,22,1,2,0,12,0,2021
30,Shane Roberts,Jr,P,15,0,15,0,5.51,16.1,0,14,10,10,11,15,0,76,61,2,0,0,3,6,1,0,6,4,0,3,280,13,20,1,1,0,6,0,2021
21,Tyler Tuthill,Jr,P,14,14,14,14,3.32,89.1,1,52,38,33,43,76,0,370,299,17,2,1,6,11,14,1,0,0,11,3,1346,78,105,4,6,0,24,0,2021
14,Cy Smith,So,P,14,0,14,0,11.25,12.0,0,15,15,15,17,13,0,69,48,5,0,0,3,2,3,1,3,0,1,0,232,11,10,0,1,0,4,0,2021
18,Quinton Martinez,Sr,P,13,13,13,13,5.63,62.1,0,69,44,39,23,46,0,274,244,18,1,0,10,5,1,0,0,0,5,1,973,66,63,3,7,0,19,2,2021
38,Trey Tujetsch,So,P,12,8,12,8,9.86,42.0,0,68,49,46,20,38,0,206,174,12,0,0,12,3,1,0,7,4,8,3,645,41,38,1,6,0,7,1,2021
